trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
ABABBABA,blcba,B,1.98,-0.98,1,4,4,4,4,0.5,0.5,relcount,0
ABABBABA,blcba,B,1.98,-0.98,1,4,4,4,4,0.5,0.5,abscount,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,information,-1
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,naive_probability,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,snr,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,incremental_lba,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,likelihood_ratio,-1
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,urgency_gating,-1
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,blcba,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,relcount,-1
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,naive_probability,0
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,snr,0
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,urgency_gating,-1
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,relcount,-1
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75,abscount,-1
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,information,0
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,snr,1
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,likelihood_ratio,0
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,urgency_gating,0
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,blcba,1
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,relcount,0
ABABBABB,naive_probability,B,0.75,0,4,3,3,5,5,0.5,0.75,abscount,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,information,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,naive_probability,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,snr,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,likelihood_ratio,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,urgency_gating,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,relcount,0
ABABBABB,incremental_lba,A,0.8,0.1,7,3,3,5,5,0.5,0.75,abscount,0
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,information,-1
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,naive_probability,0
