trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
AAAAAAAA,information,A,0.9375,0.0,5,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,1.0,0.0,4,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,likelihood_ratio,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0_beta0.1,A,1.0,0,8,4,8,0,8,1.0,1.0
AAAAAAAA,naive,A,0.9375,0,3,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0_beta0.1,A,1.0,0,4,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.25,A,1.0,0.0,4,4,8,0,8,1.0,1.0
AAAAAAAA,snr_meandefault,A,1.0,0.0,8,4,8,0,8,1.0,1.0
AAAAAAAA,snr,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0.1,A,1.0,0,4,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.06,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,relcount,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.125,A,1.0,0.0,8,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0.2_beta0.1,A,1.0,0,8,4,8,0,8,1.0,1.0
AAAAAAAA,abscount,A,1.0,0.0,8,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.5,A,1.0,0.0,2,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0.2_beta0,A,1.0,0.0,8,4,8,0,8,1.0,1.0
ABABABAB,information,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0.2_beta0,A,1.0,0.75,7,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,likelihood_ratio,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,naive,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0.2_beta0,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.25,A,1.0,0.75,7,0,4,4,4,0.5,0.5
ABABABAB,snr_meandefault,B,2.01268920085,0.25,4,0,4,4,4,0.5,0.5
ABABABAB,snr,B,2.01268920085,0.0,4,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.06,N,,,,0,4,4,4,0.5,0.5
ABABABAB,relcount,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.125,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,abscount,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.5,A,1.0,0.5,3,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0.2_beta0,N,,,,0,4,4,4,0.5,0.5
BBBBBBBB,information,B,0.9375,0.0,5,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0.2_beta0,B,1.0,0.0,4,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,likelihood_ratio,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.125_leak0_beta0.1,B,0.901691901338,0,7,4,0,8,8,1.0,1.0
BBBBBBBB,naive,B,0.9375,0,3,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0_beta0.1,B,1.01510025,0,4,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.25,B,1.0,0.0,4,4,0,8,8,1.0,1.0
BBBBBBBB,snr_meandefault,B,1.0,0.0,8,4,0,8,8,1.0,1.0
BBBBBBBB,snr,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0.2_beta0.1,B,1.01510025,0,4,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.06,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,relcount,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.125,B,1.0,0.0,8,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.125_leak0.2_beta0.1,B,0.901691901338,0,7,4,0,8,8,1.0,1.0
BBBBBBBB,abscount,B,1.0,0.0,8,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.5,B,1.0,0.0,2,4,0,8,8,1.0,1.0
